2016-05-05 23:11:35,867 |main                 |ContainerLoader               |I| [Startup] Loading containers from /home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/base/config/ofbiz-containers.xml for loaders {install}
2016-05-05 23:11:36,391 |main                 |ContainerLoader               |I| Loading container: component-container
2016-05-05 23:11:36,424 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework]
2016-05-05 23:11:36,547 |main                 |ComponentContainer            |I| Loading component : [base]
2016-05-05 23:11:36,681 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-05-05 23:11:36,735 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-05-05 23:11:36,781 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-05-05 23:11:36,864 |main                 |ComponentContainer            |I| Loading component : [security]
2016-05-05 23:11:36,939 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-05-05 23:11:37,007 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-05-05 23:11:37,117 |main                 |ComponentContainer            |I| Loading component : [common]
2016-05-05 23:11:37,205 |main                 |ComponentContainer            |I| Loading component : [service]
2016-05-05 23:11:37,451 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-05-05 23:11:37,506 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-05-05 23:11:37,548 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-05-05 23:11:37,615 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-05-05 23:11:37,702 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-05-05 23:11:37,743 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-05-05 23:11:37,792 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-05-05 23:11:37,840 |main                 |ComponentContainer            |I| Loading component : [images]
2016-05-05 23:11:37,847 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/themes]
2016-05-05 23:11:37,897 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-05-05 23:11:37,947 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-05-05 23:11:37,948 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications]
2016-05-05 23:11:38,023 |main                 |ComponentContainer            |I| Loading component : [party]
2016-05-05 23:11:38,072 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-05-05 23:11:38,144 |main                 |ComponentContainer            |I| Loading component : [content]
2016-05-05 23:11:38,195 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-05-05 23:11:38,276 |main                 |ComponentContainer            |I| Loading component : [product]
2016-05-05 23:11:38,357 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-05-05 23:11:38,442 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-05-05 23:11:38,448 |main                 |ComponentContainer            |W| Location '/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/accounting/lib/securepay' does not exist
2016-05-05 23:11:38,455 |main                 |ComponentContainer            |W| Location '/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/accounting/lib/cybersource' does not exist
2016-05-05 23:11:38,455 |main                 |ComponentContainer            |W| Location '/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/accounting/lib/worldpay' does not exist
2016-05-05 23:11:38,456 |main                 |ComponentContainer            |W| Location '/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/accounting/lib/worldpay' does not exist
2016-05-05 23:11:38,501 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-05-05 23:11:38,552 |main                 |ComponentContainer            |I| Loading component : [order]
2016-05-05 23:11:38,594 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-05-05 23:11:38,625 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-05-05 23:11:38,626 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/specialpurpose]
2016-05-05 23:11:38,664 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-05-05 23:11:38,664 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/hot-deploy]
2016-05-05 23:11:38,671 |main                 |ComponentContainer            |I| All components loaded
2016-05-05 23:11:38,671 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-05-05 23:11:38,673 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-05-05 23:11:38,770 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-05-05 23:11:38,771 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-05-05 23:11:38,771 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-05-05 23:11:38,775 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-05-05 23:11:38,776 |main                 |ContainerLoader               |I| Loading component's container: dataload-container
2016-05-05 23:11:38,828 |main                 |ContainerLoader               |I| Loaded component's container: dataload-container
2016-05-05 23:11:38,830 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2016-05-05 23:11:38,830 |main                 |ContainerLoader               |I| Starting container component-container
2016-05-05 23:11:38,831 |main                 |ContainerLoader               |I| Started container component-container
2016-05-05 23:11:38,831 |main                 |ContainerLoader               |I| Starting container classloader-container
2016-05-05 23:11:38,831 |main                 |ContainerLoader               |I| Started container classloader-container
2016-05-05 23:11:38,832 |main                 |ContainerLoader               |I| Starting container service-container
2016-05-05 23:11:38,832 |main                 |ContainerLoader               |I| Started container service-container
2016-05-05 23:11:38,833 |main                 |ContainerLoader               |I| Starting container dataload-container
2016-05-05 23:11:38,838 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-05-05 23:11:42,452 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-05-05 23:11:42,452 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-05-05 23:11:42,453 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-05-05 23:11:42,453 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-05-05 23:11:42,466 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-05-05 23:11:42,482 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-05-05 23:11:42,487 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2016-05-05 23:11:42,992 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=843 #ViewEntities=261 #Fields=8782 #Relationships=2902 #AutoRelationships=2155
2016-05-05 23:11:43,120 |main                 |GenericDelegator              |I| Doing entity definition check...
2016-05-05 23:11:43,126 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-05-05 23:11:43,805 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localmysqlolap" for entity group "org.ofbiz.olap".
2016-05-05 23:11:43,821 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-05-05 23:11:48,922 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localmysqlolap]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-05-05 23:11:48,923 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-05-05 23:11:48,923 |OFBiz-config-0       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-05-05 23:11:48,923 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localmysqltenant" for entity group "org.ofbiz.tenant".
2016-05-05 23:11:48,924 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-05-05 23:11:52,932 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localmysqltenant]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-05-05 23:11:52,932 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-05-05 23:11:52,932 |OFBiz-config-0       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-05-05 23:11:52,933 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz".
2016-05-05 23:11:52,933 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-05-05 23:11:53,012 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is MySQL
2016-05-05 23:11:53,013 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Version is 5.7.11
2016-05-05 23:11:53,014 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Name is MySQL Connector Java
2016-05-05 23:11:53,014 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-5.1.36 ( Revision: 4fc1f969f740409a4e03750316df2c0e429f3dc8 )
2016-05-05 23:11:53,014 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2016-05-05 23:11:53,015 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-05-05 23:11:53,015 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-05-05 23:11:53,015 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2016-05-05 23:11:53,016 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-05-05 23:11:53,018 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-05-05 23:11:53,019 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-05-05 23:11:53,019 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-05-05 23:11:53,019 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [false]
2016-05-05 23:11:53,020 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-05-05 23:11:53,020 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-05-05 23:11:53,020 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-05-05 23:11:53,021 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-05-05 23:11:53,021 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-05-05 23:11:53,021 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-05-05 23:11:53,021 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [64]
2016-05-05 23:11:53,022 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [64]
2016-05-05 23:11:53,022 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [0]
2016-05-05 23:11:53,022 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-05-05 23:11:53,023 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-05-05 23:11:53,023 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-05-05 23:11:53,025 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-05-05 23:11:53,026 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [true]
2016-05-05 23:11:53,026 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-05-05 23:11:53,026 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2016-05-05 23:11:53,027 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2016-05-05 23:11:53,027 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2016-05-05 23:11:53,027 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [false]
2016-05-05 23:11:53,028 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
2016-05-05 23:11:53,028 |OFBiz-config-0       |DatabaseUtil                  |I| - group by not in select    [true]
2016-05-05 23:11:53,028 |OFBiz-config-0       |DatabaseUtil                  |I| - column aliasing           [true]
2016-05-05 23:11:53,029 |OFBiz-config-0       |DatabaseUtil                  |I| - order by not in select    [false]
2016-05-05 23:11:53,029 |OFBiz-config-0       |DatabaseUtil                  |I| - alter table add column    [true]*
2016-05-05 23:11:53,029 |OFBiz-config-0       |DatabaseUtil                  |I| - non-nullable column       [true]*
2016-05-05 23:11:53,038 |OFBiz-config-0       |DatabaseUtil                  |I| - default fetchsize        [0]
2016-05-05 23:11:53,038 |OFBiz-config-0       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2016-05-05 23:11:53,038 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Table Info From Database
2016-05-05 23:11:53,077 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AccommodationClass] has no table in the database
2016-05-05 23:11:53,087 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AccommodationMap] has no table in the database
2016-05-05 23:11:53,087 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AccommodationMapType] has no table in the database
2016-05-05 23:11:53,087 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AccommodationSpot] has no table in the database
2016-05-05 23:11:53,088 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTrans] has no table in the database
2016-05-05 23:11:53,088 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTransAttribute] has no table in the database
2016-05-05 23:11:53,088 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTransEntry] has no table in the database
2016-05-05 23:11:53,089 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTransEntryType] has no table in the database
2016-05-05 23:11:53,089 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTransType] has no table in the database
2016-05-05 23:11:53,091 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AcctgTransTypeAttr] has no table in the database
2016-05-05 23:11:53,091 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [Addendum] has no table in the database
2016-05-05 23:11:53,091 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AddressMatchMap] has no table in the database
2016-05-05 23:11:53,091 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [Affiliate] has no table in the database
2016-05-05 23:11:53,092 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [Agreement] has no table in the database
2016-05-05 23:11:53,092 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementAttribute] has no table in the database
2016-05-05 23:11:53,092 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementEmploymentAppl] has no table in the database
2016-05-05 23:11:53,092 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementFacilityAppl] has no table in the database
2016-05-05 23:11:53,092 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementGeographicalApplic] has no table in the database
2016-05-05 23:11:53,095 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementItem] has no table in the database
2016-05-05 23:11:53,095 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementItemAttribute] has no table in the database
2016-05-05 23:11:53,095 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementItemType] has no table in the database
2016-05-05 23:11:53,096 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementItemTypeAttr] has no table in the database
2016-05-05 23:11:53,096 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementPartyApplic] has no table in the database
2016-05-05 23:11:53,098 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementProductAppl] has no table in the database
2016-05-05 23:11:53,098 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementPromoAppl] has no table in the database
2016-05-05 23:11:53,098 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementRole] has no table in the database
2016-05-05 23:11:53,099 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementTerm] has no table in the database
2016-05-05 23:11:53,099 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementTermAttribute] has no table in the database
2016-05-05 23:11:53,099 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementType] has no table in the database
2016-05-05 23:11:53,099 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementTypeAttr] has no table in the database
2016-05-05 23:11:53,099 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AgreementWorkEffortApplic] has no table in the database
2016-05-05 23:11:53,100 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [ApplicationSandbox] has no table in the database
2016-05-05 23:11:53,101 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [AudioDataResource] has no table in the database
2016-05-05 23:11:53,101 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [BenefitType] has no table in the database
2016-05-05 23:11:53,101 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [BillingAccount] has no table in the database
2016-05-05 23:11:53,103 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [BillingAccountRole] has no table in the database
2016-05-05 23:11:53,103 |OFBiz-config-0       |DatabaseUtil                  |W| Entity [BillingAccountTerm] has no table in the database
