2016-05-05 23:21:22,914 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/service/data/ServiceSecurityPermissionSeedData.xml
2016-05-05 23:21:22,917 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:22,926 |main                 |EntitySaxReader               |I| Finished 2 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/service/data/ServiceSecurityPermissionSeedData.xml
2016-05-05 23:21:22,926 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/entityext/data/EntityExtTypeData.xml
2016-05-05 23:21:22,927 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:22,999 |main                 |EntitySaxReader               |I| Finished 12 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/entityext/data/EntityExtTypeData.xml
2016-05-05 23:21:22,999 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/entityext/data/EntityExtSecurityPermissionSeedData.xml
2016-05-05 23:21:23,000 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:23,023 |main                 |EntitySaxReader               |I| Finished 2 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/entityext/data/EntityExtSecurityPermissionSeedData.xml
2016-05-05 23:21:23,023 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/bi/data/BiTypeData.xml
2016-05-05 23:21:23,023 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:23,037 |main                 |EntitySaxReader               |I| Finished 0 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/bi/data/BiTypeData.xml
2016-05-05 23:21:23,037 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/bi/data/BiSecurityPermissionSeedData.xml
2016-05-05 23:21:23,037 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:23,081 |main                 |EntitySaxReader               |I| Finished 3 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/bi/data/BiSecurityPermissionSeedData.xml
2016-05-05 23:21:23,081 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/webtools/data/WebtoolsSecurityPermissionSeedData.xml
2016-05-05 23:21:23,082 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
